,id,date,rid_id,cat_url,bppcat,miss,price0,price,nsprice,sale,fullprice,nsfullprice,fullsale,initialspell,lastspell,category,retailer,prc_b,weight,duration,tau,indexcpi,indexps,indexcpi_tau,indexps_tau,indpro,cons,rs,pmi,orders,expect,indpro_tau,cons_tau,rs_tau,pmi_tau,orders_tau,expect_tau,sqrt_duration,inv_sqrt_duration,chg_p,chg_p2,chg_indpro,chg_cons,chg_rs,chg_pmi,chg_orders,chg_expect,prcs_a,prcs_a_lag,dlprcs_a,duration_lag,lduration_lag,lp_na,lp_na_lag,chg,r_it,tau_num,date_num,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,d21,d22,d23,sqrt_duration_lag,inv_sqrt_duration_lag,chg_p_lag,chg_indpro_lag,chg_cons_lag,chg_rs_lag,chg_pmi_lag,chg_orders_lag,chg_expect_lag,d0_lag,d1_lag,d2_lag,d3_lag,d4_lag,d5_lag,d6_lag,d7_lag,d8_lag,d9_lag,d10_lag,d11_lag,d12_lag,d13_lag,d14_lag,d15_lag,d16_lag,d17_lag,d18_lag,d19_lag,d20_lag,d21_lag,d22_lag,d23_lag
426,33,2008-10-31,42,1903,113,,2.45,2.45,2.45,,2.45,2.45,,,,113,usa1,2.29,0.0028951,1,2008-09-30,99.98538,98.80454,100.1238,99.35636,97.2844,98.10436999999999,93.45617,38.9,87.84168000000001,96.9,96.3567,98.58161,95.87772,44.8,90.02588,107.1,1.0,1.0,-0.0013839,-0.0055693999999999995,0.0095818,-0.0048528,-0.025581,-0.1412138,-0.024561000000000003,-0.10008339999999999,2.45,,,,,0.8960880245566357,,0,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,33,2008-11-30,42,1903,113,,2.15,2.15,2.15,,2.15,2.15,,,,113,usa1,2.29,0.0028951,0,2008-09-30,98.9754,97.9567,100.1238,99.35636,96.0552,97.85682,93.90890999999999,36.5,84.84985,93.8,96.3567,98.58161,95.87772,44.8,90.02588,107.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,2.45,-0.1306201824170643,1.0,0.0,0.7654678421395714,0.8960880245566357,1,-1,2,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.0013839,0.0095818,-0.0048528,-0.025581,-0.1412138,-0.024561000000000003,-0.10008339999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,33,2008-12-31,42,1903,113,,2.15,2.15,2.15,,2.15,2.15,,,,113,usa1,2.29,0.0028951,1,2008-11-30,97.07973,96.84394,98.9754,97.9567,93.25200000000001,97.33561999999999,93.25515,33.1,81.66145999999999,93.9,96.0552,97.85682,93.90890999999999,36.5,84.84985,93.8,1.0,1.0,-0.0193386,-0.011424799999999999,-0.0296175,-0.0053403999999999995,-0.0069859,-0.09777899999999999,-0.038301,0.0010655,2.15,2.15,0.0,0.0,-inf,0.7654678421395714,0.7654678421395714,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,33,2009-01-31,42,1903,113,,2.45,2.45,2.45,,2.45,2.45,,,,113,usa1,2.29,0.0028951,0,2008-11-30,96.07568,97.17307,98.9754,97.9567,91.0332,97.71661,94.26955,34.9,78.28696,97.7,96.0552,97.85682,93.90890999999999,36.5,84.84985,93.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,2.15,0.1306201824170643,1.0,0.0,0.8960880245566357,0.7654678421395714,1,1,4,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.0193386,-0.0296175,-0.0053403999999999995,-0.0069859,-0.09777899999999999,-0.038301,0.0010655,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,33,2009-02-28,42,1903,113,,2.45,2.45,2.45,,2.45,2.45,,,,113,usa1,2.29,0.0028951,1,2009-01-31,96.49385,97.16101,96.07568,97.17307,90.4375,97.40566,93.08884,35.6,79.11758,90.4,91.0332,97.71661,94.26955,34.9,78.28696,97.7,1.0,1.0,0.004343,-0.00012409999999999998,-0.0065653000000000005,-0.0031872,-0.012604,0.019858700000000003,0.010554000000000001,-0.0776572,2.45,2.45,0.0,0.0,-inf,0.8960880245566357,0.8960880245566357,0,0,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,33,2009-03-31,42,1903,113,,2.45,2.45,2.45,,2.45,2.45,,,,113,usa1,2.29,0.0028951,2,2009-01-31,96.9737,97.4047,96.07568,97.17307,89.0085,97.03855,91.94129000000001,36.0,76.76395,93.4,91.0332,97.71661,94.26955,34.9,78.28696,97.7,1.4142139999999999,0.7071068,0.0065786,0.0016835,-0.015904599999999998,-0.0049237,-0.017683400000000002,0.021943,-0.013891800000000001,-0.031827,2.45,2.45,0.0,1.0,0.0,0.8960880245566357,0.8960880245566357,0,0,6,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.004343,-0.0065653000000000005,-0.0031872,-0.012604,0.019858700000000003,0.010554000000000001,-0.0776572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,33,2009-04-30,42,1903,113,,2.19,2.19,2.45,1.0,2.19,2.45,1.0,,,113,usa1,2.29,0.0028951,3,2009-01-31,97.20952,97.41835999999999,96.07568,97.17307,88.2959,96.87138,91.90054,39.8,77.16535999999999,103.0,91.0332,97.71661,94.26955,34.9,78.28696,97.7,1.7320509999999998,0.5773503000000001,0.0067737,0.0014555,-0.0176269,-0.0050157,-0.014694299999999999,0.0758523,-0.0083314,0.030499900000000003,2.45,2.45,0.0,2.0,0.6931471805599453,0.8960880245566357,0.8960880245566357,0,0,6,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142139999999999,0.7071068,0.0065786,-0.015904599999999998,-0.0049237,-0.017683400000000002,0.021943,-0.013891800000000001,-0.031827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,33,2009-05-31,42,1903,113,,1.99,1.99,1.99,,1.99,2.45,1.0,,,113,usa1,2.29,0.0028951,4,2009-01-31,97.45219,97.50528,96.07568,97.17307,87.4078,96.97284,92.51626999999999,42.0,76.38754,109.3,91.0332,97.71661,94.26955,34.9,78.28696,97.7,2.0,0.5,0.0071128,0.0017064,-0.020319900000000002,-0.0038203000000000004,-0.0093869,0.0925914,-0.0122807,0.056097400000000006,2.45,2.45,0.0,3.0,1.0986122886681098,0.8960880245566357,0.8960880245566357,0,0,6,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7320509999999998,0.5773503000000001,0.0067737,-0.0176269,-0.0050157,-0.014694299999999999,0.0758523,-0.0083314,0.030499900000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,33,2009-06-30,42,1903,113,,2.45,2.45,2.45,,2.45,2.45,,,,113,usa1,2.29,0.0028951,5,2009-01-31,97.73371,97.3317,96.07568,97.17307,87.0694,96.94798,92.43056,45.8,76.50908000000001,109.1,91.0332,97.71661,94.26955,34.9,78.28696,97.7,2.236068,0.44721359999999993,0.007652,0.0007295,-0.0199094,-0.0035317,-0.0088104,0.12155139999999999,-0.010273299999999999,0.049356,2.45,2.45,0.0,4.0,1.3862943611198906,0.8960880245566357,0.8960880245566357,0,0,6,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0071128,-0.020319900000000002,-0.0038203000000000004,-0.0093869,0.0925914,-0.0122807,0.056097400000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,33,2009-07-31,42,1903,113,1.0,,,,,1.99,1.99,,,,113,usa1,2.29,0.0028951,0,2009-01-31,98.57321999999999,97.64542,96.07568,97.17307,88.0285,97.19864,92.47310999999999,49.2,78.81477,103.1,91.0332,97.71661,94.26955,34.9,78.28696,97.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,2.45,-0.2079533858202347,5.0,1.6094379124341003,0.688134638736401,0.8960880245566357,1,-1,6,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.236068,0.44721359999999993,0.007652,-0.0199094,-0.0035317,-0.0088104,0.12155139999999999,-0.010273299999999999,0.049356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
